,age,education-num,income,count
67,26.0,13.196374622356496,<=50k,290
68,26.0,13.196374622356496,>50k,41
69,30.0,13.333333333333334,<=50k,213
70,30.0,13.333333333333334,>50k,135
71,38.0,9.0,<=50k,324
72,38.0,9.0,>50k,74
73,39.4798962386511,9.0,<=50k,597
74,39.4798962386511,9.0,>50k,174
75,43.46655518394649,9.0,<=50k,458
76,43.46655518394649,9.0,>50k,140
77,38.0,10.407594936708861,<=50k,287
78,38.0,10.407594936708861,>50k,108
79,43.0,10.351190476190476,<=50k,231
80,43.0,10.351190476190476,>50k,105
81,37.0,13.49240121580547,<=50k,130
82,37.0,13.49240121580547,>50k,199
83,38.0,13.474254742547425,<=50k,153
84,38.0,13.474254742547425,>50k,216
85,39.0,13.516216216216216,<=50k,166
86,39.0,13.516216216216216,>50k,204
87,44.0,13.624,<=50k,156
88,44.0,13.624,>50k,219
89,45.49933065595716,13.613119143239626,<=50k,279
90,45.49933065595716,13.613119143239626,>50k,468
91,47.0,9.0,<=50k,245
92,47.0,9.0,>50k,111
93,47.0,10.375438596491229,<=50k,182
94,47.0,10.375438596491229,>50k,103
95,48.47577092511013,10.396475770925111,<=50k,289
96,48.47577092511013,10.396475770925111,>50k,165
97,47.0,13.65548780487805,<=50k,123
98,47.0,13.65548780487805,>50k,205
99,48.47784200385357,13.641618497109826,<=50k,180
100,48.47784200385357,13.641618497109826,>50k,339
101,50.45634920634921,13.746031746031745,<=50k,162
102,50.45634920634921,13.746031746031745,>50k,342
103,55.46666666666667,9.0,<=50k,326
104,55.46666666666667,9.0,>50k,94
105,18.645833333333332,6.0,<=50k,96
106,20.364583333333332,7.333333333333333,<=50k,95
107,20.364583333333332,7.333333333333333,>50k,1
108,24.0,7.2631578947368425,<=50k,55
109,24.0,7.2631578947368425,>50k,2
110,28.489795918367346,7.275510204081633,<=50k,92
111,28.489795918367346,7.275510204081633,>50k,6
112,30.471698113207548,7.216981132075472,<=50k,102
113,30.471698113207548,7.216981132075472,>50k,4
114,17.0,9.0,<=50k,14
115,18.0,9.0,<=50k,249
116,21.0,9.0,<=50k,349
117,21.0,9.0,>50k,2
118,22.0,9.0,<=50k,355
119,22.0,9.0,>50k,3
120,26.0,9.0,<=50k,358
121,26.0,9.0,>50k,18
122,27.0,9.0,<=50k,366
123,27.0,9.0,>50k,34
124,28.0,10.0,<=50k,234
125,28.0,10.0,>50k,31
126,35.0,10.0,<=50k,206
127,35.0,10.0,>50k,48
128,36.0,10.0,<=50k,183
129,36.0,10.0,>50k,77
130,27.0,11.451923076923077,<=50k,92
131,27.0,11.451923076923077,>50k,12
132,28.0,11.440677966101696,<=50k,98
133,28.0,11.440677966101696,>50k,20
134,32.0,11.378151260504202,<=50k,90
135,32.0,11.378151260504202,>50k,29
136,33.0,11.421875,<=50k,102
137,33.0,11.421875,>50k,26
138,34.0,11.418181818181818,<=50k,84
139,34.0,11.418181818181818,>50k,26
140,35.48192771084337,11.461847389558233,<=50k,172
141,35.48192771084337,11.461847389558233,>50k,77
142,23.0,13.020979020979022,<=50k,280
143,23.0,13.020979020979022,>50k,6
144,24.0,13.089783281733746,<=50k,309
145,24.0,13.089783281733746,>50k,14
146,25.0,13.110119047619047,<=50k,306
147,25.0,13.110119047619047,>50k,30
148,27.0,13.279761904761905,<=50k,289
149,27.0,13.279761904761905,>50k,47
150,28.47751937984496,13.34108527131783,<=50k,450
151,28.47751937984496,13.34108527131783,>50k,195
152,31.0,13.39090909090909,<=50k,195
153,31.0,13.39090909090909,>50k,135
154,32.0,13.361764705882353,<=50k,186
155,32.0,13.361764705882353,>50k,154
156,33.0,13.482658959537572,<=50k,193
157,33.0,13.482658959537572,>50k,153
158,34.0,13.454802259887005,<=50k,169
159,34.0,13.454802259887005,>50k,185
160,35.0,13.400560224089636,<=50k,175
161,35.0,13.400560224089636,>50k,182
162,36.0,13.434782608695652,<=50k,179
163,36.0,13.434782608695652,>50k,189
164,37.4468085106383,6.0,<=50k,39
165,37.4468085106383,6.0,>50k,8
166,39.48,6.0,<=50k,45
167,39.48,6.0,>50k,5
168,37.0,7.184210526315789,<=50k,34
169,37.0,7.184210526315789,>50k,4
170,45.0,9.0,<=50k,234
171,45.0,9.0,>50k,72
172,46.0,9.0,<=50k,230
173,46.0,9.0,>50k,76
174,39.0,10.491176470588234,<=50k,232
175,39.0,10.491176470588234,>50k,108
176,40.0,10.536111111111111,<=50k,243
177,40.0,10.536111111111111,>50k,117
178,44.0,10.437689969604863,<=50k,213
179,44.0,10.437689969604863,>50k,116
180,45.493650793650794,10.458730158730159,<=50k,417
181,45.493650793650794,10.458730158730159,>50k,213
182,40.0,13.603825136612022,<=50k,167
183,40.0,13.603825136612022,>50k,199
184,41.0,13.594240837696335,<=50k,160
185,41.0,13.594240837696335,>50k,222
186,48.0,9.0,<=50k,187
187,48.0,9.0,>50k,59
188,49.0,9.0,<=50k,210
189,49.0,9.0,>50k,67
190,50.0,9.0,<=50k,199
191,50.0,9.0,>50k,101
192,51.0,9.0,<=50k,232
193,51.0,9.0,>50k,88
194,52.0,9.0,<=50k,185
195,52.0,9.0,>50k,79
196,53.47912087912088,9.0,<=50k,311
197,53.47912087912088,9.0,>50k,144
198,50.0,10.415,<=50k,117
199,50.0,10.415,>50k,83
200,51.0,10.429824561403509,<=50k,138
201,51.0,10.429824561403509,>50k,90
202,52.0,10.365591397849462,<=50k,117
203,52.0,10.365591397849462,>50k,69
204,53.473846153846154,10.307692307692308,<=50k,202
205,53.473846153846154,10.307692307692308,>50k,123
206,52.0,13.726256983240223,<=50k,61
207,52.0,13.726256983240223,>50k,118
208,53.464285714285715,13.736263736263735,<=50k,124
209,53.464285714285715,13.736263736263735,>50k,240
210,57.0,9.0,<=50k,136
211,57.0,9.0,>50k,43
212,55.47908745247148,10.300380228136882,<=50k,168
213,55.47908745247148,10.300380228136882,>50k,95
214,55.4448051948052,13.717532467532468,<=50k,120
215,55.4448051948052,13.717532467532468,>50k,188
216,61.4375,9.0,<=50k,236
217,61.4375,9.0,>50k,52
218,26.0,3.142857142857143,<=50k,21
219,26.49122807017544,6.0,<=50k,56
220,26.49122807017544,6.0,>50k,1
221,31.28125,5.0,<=50k,31
222,31.28125,5.0,>50k,1
223,22.0,7.2745098039215685,<=50k,49
224,22.0,7.2745098039215685,>50k,2
225,23.0,7.345454545454546,<=50k,53
226,23.0,7.345454545454546,>50k,2
227,25.0,7.2727272727272725,<=50k,52
228,25.0,7.2727272727272725,>50k,3
229,26.46875,7.25,<=50k,93
230,26.46875,7.25,>50k,3
231,32.0,7.296296296296297,<=50k,47
232,32.0,7.296296296296297,>50k,7
233,33.0,7.363636363636363,<=50k,53
234,33.0,7.363636363636363,>50k,2
235,34.0,7.290909090909091,<=50k,54
236,34.0,7.290909090909091,>50k,1
237,29.0,10.0,<=50k,215
238,29.0,10.0,>50k,26
239,30.0,10.0,<=50k,213
240,30.0,10.0,>50k,42
241,19.894736842105264,12.0,<=50k,19
242,21.0,11.455882352941176,<=50k,67
243,21.0,11.455882352941176,>50k,1
244,22.0,13.007299270072993,<=50k,134
245,22.0,13.007299270072993,>50k,3
246,37.0,1.8461538461538463,<=50k,13
247,37.0,3.0,<=50k,13
248,37.0,4.0,<=50k,12
249,37.0,4.0,>50k,1
250,37.0,5.0,<=50k,15
251,37.0,5.0,>50k,2
252,38.0,7.2105263157894735,<=50k,32
253,38.0,7.2105263157894735,>50k,6
254,39.42372881355932,7.3559322033898304,<=50k,54
255,39.42372881355932,7.3559322033898304,>50k,5
256,41.0,1.9090909090909092,<=50k,10
257,41.0,1.9090909090909092,>50k,1
258,41.0,3.4642857142857144,<=50k,28
259,41.0,7.354838709677419,<=50k,26
260,41.0,7.354838709677419,>50k,5
261,42.45652173913044,7.239130434782608,<=50k,43
262,42.45652173913044,7.239130434782608,>50k,3
263,44.0,4.375,<=50k,23
264,44.0,4.375,>50k,1
265,44.0,6.0,<=50k,13
266,44.0,6.0,>50k,1
267,44.0,7.466666666666667,<=50k,24
268,44.0,7.466666666666667,>50k,6
269,47.0,4.0,<=50k,20
270,47.0,4.0,>50k,4
271,47.0,7.205128205128205,<=50k,38
272,47.0,7.205128205128205,>50k,1
273,55.0,2.8333333333333335,<=50k,12
274,55.0,4.0,<=50k,18
275,55.0,5.0,<=50k,15
276,55.0,5.0,>50k,2
277,55.0,6.404761904761905,<=50k,37
278,55.0,6.404761904761905,>50k,5
279,56.0,4.0,<=50k,26
280,56.0,4.0,>50k,2
281,56.0,5.0,<=50k,17
282,56.0,5.0,>50k,1
283,57.0,1.9,<=50k,10
284,57.0,5.0,<=50k,10
285,57.0,5.0,>50k,3
286,57.0,6.552631578947368,<=50k,32
287,57.0,6.552631578947368,>50k,6
288,58.0,9.0,<=50k,155
289,58.0,9.0,>50k,57
290,59.45161290322581,9.0,<=50k,254
291,59.45161290322581,9.0,>50k,87
292,57.0,10.328125,<=50k,86
293,57.0,10.328125,>50k,42
294,57.0,13.700680272108844,<=50k,45
295,57.0,13.700680272108844,>50k,102
296,61.44827586206897,4.0,<=50k,51
297,61.44827586206897,4.0,>50k,7
298,61.47826086956522,5.0,<=50k,21
299,61.47826086956522,5.0,>50k,2
300,61.388888888888886,6.680555555555555,<=50k,65
301,61.388888888888886,6.680555555555555,>50k,7
302,63.0,9.0,<=50k,97
303,63.0,9.0,>50k,17
304,64.46460176991151,9.0,<=50k,184
305,64.46460176991151,9.0,>50k,42
306,61.0,13.8,<=50k,44
307,61.0,13.8,>50k,61
308,66.0,9.0,<=50k,60
309,66.0,9.0,>50k,14
310,20.0,2.7,<=50k,10
311,22.0,1.75,<=50k,4
312,22.0,3.0,<=50k,11
313,22.0,3.0,>50k,1
314,24.428571428571427,4.0,<=50k,26
315,24.428571428571427,4.0,>50k,2
316,17.0,5.0,<=50k,36
317,21.0,6.0,<=50k,25
318,22.0,6.0,<=50k,31
319,23.0,6.0,<=50k,32
320,27.0,1.75,<=50k,4
321,27.0,3.3448275862068964,<=50k,29
322,28.0,4.0,<=50k,19
323,26.0,5.0,<=50k,9
324,27.0,5.0,<=50k,17
325,28.0,5.0,<=50k,17
326,28.0,5.0,>50k,2
327,28.0,6.0,<=50k,38
328,29.416666666666668,6.0,<=50k,46
329,29.416666666666668,6.0,>50k,2
330,31.4,1.0,<=50k,5
331,31.214285714285715,2.0,<=50k,14
332,31.34375,4.0,<=50k,32
333,31.0,6.0,<=50k,28
334,31.0,6.0,>50k,2
335,32.0,6.0,<=50k,31
336,32.0,6.0,>50k,2
337,33.0,1.8,<=50k,10
338,33.0,5.0,<=50k,21
339,33.0,6.0,<=50k,33
340,35.0,7.283018867924528,<=50k,52
341,35.0,7.283018867924528,>50k,1
342,36.0,7.226415094339623,<=50k,51
343,36.0,7.226415094339623,>50k,2
344,19.0,11.0,<=50k,5
345,20.0,11.0,<=50k,13
346,22.0,11.0,<=50k,41
347,22.0,12.0,<=50k,40
348,22.0,12.0,>50k,1
349,19.2,13.4,<=50k,5
350,21.0,13.076923076923077,<=50k,12
351,21.0,13.076923076923077,>50k,1
352,38.0,2.0,<=50k,4
353,38.0,3.0,<=50k,8
354,38.0,4.0,<=50k,13
355,38.0,4.0,>50k,2
356,38.0,5.0,<=50k,14
357,38.0,5.0,>50k,2
358,40.0,4.466666666666667,<=50k,26
359,40.0,4.466666666666667,>50k,4
360,42.0,1.6,<=50k,4
361,42.0,1.6,>50k,1
362,43.0,1.8571428571428572,<=50k,7
363,42.29032258064516,4.0,<=50k,30
364,42.29032258064516,4.0,>50k,1
365,41.0,5.0,<=50k,11
366,41.0,6.0,<=50k,13
367,41.0,6.0,>50k,1
368,42.45454545454545,5.0,<=50k,21
369,42.45454545454545,5.0,>50k,1
370,44.0,2.0,<=50k,6
371,44.0,3.0,<=50k,9
372,44.0,3.0,>50k,1
373,45.0,4.451612903225806,<=50k,26
374,45.0,4.451612903225806,>50k,5
375,45.0,6.0,<=50k,13
376,45.0,7.333333333333333,<=50k,34
377,45.0,7.333333333333333,>50k,5
378,46.0,1.8,<=50k,10
379,46.0,5.0,<=50k,15
380,47.0,1.7142857142857142,<=50k,7
381,47.0,3.0,<=50k,15
382,47.0,3.0,>50k,2
383,47.0,5.0,<=50k,8
384,47.0,5.0,>50k,1
385,47.0,6.0,<=50k,14
386,47.0,6.0,>50k,2
387,48.0,4.434782608695652,<=50k,20
388,48.0,4.434782608695652,>50k,3
389,48.0,6.0,<=50k,19
390,48.0,6.0,>50k,3
391,48.0,7.172413793103448,<=50k,26
392,48.0,7.172413793103448,>50k,3
393,49.0,4.0,<=50k,28
394,49.0,4.0,>50k,1
395,49.0,5.0,<=50k,14
396,49.0,5.0,>50k,1
397,50.0,4.241379310344827,<=50k,28
398,50.0,4.241379310344827,>50k,1
399,50.0,6.0,<=50k,19
400,50.0,6.0,>50k,3
401,50.0,7.166666666666667,<=50k,20
402,50.0,7.166666666666667,>50k,4
403,51.0,6.0,<=50k,17
404,51.0,6.0,>50k,3
405,51.0,7.233333333333333,<=50k,24
406,51.0,7.233333333333333,>50k,6
407,52.0,4.375,<=50k,30
408,52.0,4.375,>50k,2
409,52.0,6.0,<=50k,25
410,52.0,6.0,>50k,2
411,52.0,7.433333333333334,<=50k,25
412,52.0,7.433333333333334,>50k,5
413,53.30769230769231,5.0,<=50k,24
414,53.30769230769231,5.0,>50k,2
415,56.0,2.0,<=50k,5
416,56.0,3.0,<=50k,6
417,56.0,3.0,>50k,2
418,56.0,6.0,<=50k,19
419,56.0,6.0,>50k,2
420,56.0,7.28,<=50k,22
421,56.0,7.28,>50k,3
422,57.0,3.0,<=50k,14
423,57.0,3.0,>50k,1
424,57.0,4.0,<=50k,17
425,57.0,4.0,>50k,4
426,58.0,4.433333333333334,<=50k,28
427,58.0,4.433333333333334,>50k,2
428,58.0,6.0,<=50k,15
429,58.0,6.0,>50k,7
430,58.0,7.296296296296297,<=50k,25
431,58.0,7.296296296296297,>50k,2
432,59.48148148148148,5.0,<=50k,23
433,59.48148148148148,5.0,>50k,4
434,59.348837209302324,6.476744186046512,<=50k,72
435,59.348837209302324,6.476744186046512,>50k,14
436,58.0,10.383928571428571,<=50k,71
437,58.0,10.383928571428571,>50k,41
438,58.0,13.602941176470589,<=50k,52
439,58.0,13.602941176470589,>50k,84
440,59.409909909909906,13.774774774774775,<=50k,95
441,59.409909909909906,13.774774774774775,>50k,127
442,61.23076923076923,3.0,<=50k,12
443,61.23076923076923,3.0,>50k,1
444,63.0,2.3333333333333335,<=50k,12
445,63.0,4.0,<=50k,14
446,63.0,4.0,>50k,5
447,63.0,5.0,<=50k,8
448,63.0,5.0,>50k,2
449,63.0,6.636363636363637,<=50k,30
450,63.0,6.636363636363637,>50k,3
451,64.42424242424242,4.0,<=50k,31
452,64.42424242424242,4.0,>50k,2
453,64.48484848484848,7.121212121212121,<=50k,30
454,64.48484848484848,7.121212121212121,>50k,3
455,61.0,10.306666666666667,<=50k,44
456,61.0,10.306666666666667,>50k,31
457,62.0,10.304878048780488,<=50k,65
458,62.0,10.304878048780488,>50k,17
459,63.0,10.220588235294118,<=50k,46
460,63.0,10.220588235294118,>50k,22
461,64.4779411764706,10.345588235294118,<=50k,107
462,64.4779411764706,10.345588235294118,>50k,29
463,62.0,13.747826086956522,<=50k,50
464,62.0,13.747826086956522,>50k,65
465,66.0,2.5,<=50k,6
466,66.0,4.0,<=50k,19
467,66.0,4.0,>50k,1
468,66.0,5.0,<=50k,5
469,66.0,5.0,>50k,1
470,66.0,6.518518518518518,<=50k,21
471,66.0,6.518518518518518,>50k,6
472,67.0,2.6,<=50k,5
473,67.0,9.0,<=50k,65
474,67.0,9.0,>50k,14
475,68.45299145299145,9.0,<=50k,102
476,68.45299145299145,9.0,>50k,15
477,66.0,10.384615384615385,<=50k,41
478,66.0,10.384615384615385,>50k,11
479,66.0,13.5,<=50k,29
480,66.0,13.5,>50k,23
481,70.0,9.0,<=50k,43
482,70.0,9.0,>50k,1
483,17.0,3.0,<=50k,3
484,18.0,3.0,<=50k,5
485,19.0,1.0,<=50k,3
486,21.0,1.1666666666666667,<=50k,6
487,21.0,3.0,<=50k,8
488,23.0,1.6,<=50k,5
489,23.0,3.0,<=50k,16
490,17.0,4.0,<=50k,5
491,18.0,4.0,<=50k,6
492,19.0,4.0,<=50k,12
493,19.0,4.0,>50k,1
494,22.0,4.0,<=50k,9
495,23.0,4.0,<=50k,15
496,18.0,5.0,<=50k,10
497,21.0,5.0,<=50k,12
498,22.0,5.0,<=50k,15
499,23.0,5.0,<=50k,14
500,24.0,6.0,<=50k,12
501,25.0,6.0,<=50k,24
502,28.0,1.8333333333333333,<=50k,6
503,28.0,3.0,<=50k,10
504,29.0,1.75,<=50k,4
505,30.0,4.0,<=50k,16
506,29.0,5.0,<=50k,11
507,30.0,5.0,<=50k,22
508,30.0,5.0,>50k,1
509,31.0,3.0,<=50k,8
510,32.0,3.0,<=50k,12
511,32.0,3.0,>50k,2
512,33.0,3.0,<=50k,12
513,33.0,3.0,>50k,1
514,33.0,4.0,<=50k,17
515,33.0,4.0,>50k,1
516,34.0,4.0,<=50k,12
517,34.0,5.0,<=50k,16
518,34.0,6.0,<=50k,26
519,34.0,6.0,>50k,2
520,39.0,1.5,<=50k,4
521,39.0,3.0,<=50k,8
522,39.0,4.0,<=50k,8
523,39.0,5.0,<=50k,14
524,39.0,5.0,>50k,1
525,40.0,3.0,<=50k,6
526,42.0,3.0,<=50k,8
527,42.0,3.0,>50k,1
528,43.0,3.0,<=50k,10
529,43.0,3.0,>50k,1
530,42.0,6.0,<=50k,12
531,42.0,6.0,>50k,3
532,43.0,6.0,<=50k,14
533,43.0,6.0,>50k,1
534,45.0,2.0,<=50k,4
535,45.0,3.0,<=50k,9
536,45.0,3.0,>50k,1
537,46.0,3.0,<=50k,15
538,46.0,3.0,>50k,1
539,46.0,4.0,<=50k,16
540,46.0,6.0,<=50k,17
541,46.0,6.0,>50k,3
542,46.0,7.133333333333334,<=50k,23
543,46.0,7.133333333333334,>50k,7
544,48.0,1.875,<=50k,8
545,48.0,3.0,<=50k,8
546,49.0,1.6666666666666667,<=50k,3
547,49.0,3.0,<=50k,8
548,49.0,3.0,>50k,1
549,49.0,6.0,<=50k,19
550,49.0,6.0,>50k,3
551,49.0,7.214285714285714,<=50k,27
552,49.0,7.214285714285714,>50k,1
553,50.0,3.0,<=50k,10
554,51.0,1.7142857142857142,<=50k,7
555,51.0,3.0,<=50k,7
556,51.0,3.0,>50k,1
557,51.0,4.0,<=50k,17
558,51.0,5.0,<=50k,16
559,51.0,5.0,>50k,1
560,52.0,3.0,<=50k,10
561,53.38095238095238,3.0,<=50k,17
562,53.38095238095238,3.0,>50k,4
563,53.46153846153846,4.0,<=50k,35
564,53.46153846153846,4.0,>50k,4
565,53.275,7.375,<=50k,34
566,53.275,7.375,>50k,6
567,58.0,2.0,<=50k,7
568,58.0,3.0,<=50k,9
569,59.0,4.0,<=50k,17
570,59.0,4.0,>50k,1
571,60.0,4.0,<=50k,26
572,60.0,4.0,>50k,3
573,59.0,10.357798165137615,<=50k,59
574,59.0,10.357798165137615,>50k,50
575,60.0,10.362068965517242,<=50k,80
576,60.0,10.362068965517242,>50k,36
577,61.0,1.0,<=50k,2
578,61.0,1.0,>50k,1
579,61.3,2.0,<=50k,9
580,61.3,2.0,>50k,1
581,64.33333333333333,1.0,<=50k,3
582,64.46153846153847,5.0,<=50k,13
583,64.4,6.0,<=50k,13
584,64.4,6.0,>50k,7
585,63.0,13.556962025316455,<=50k,38
586,63.0,13.556962025316455,>50k,41
587,64.45652173913044,13.847826086956522,<=50k,62
588,64.45652173913044,13.847826086956522,>50k,76
589,67.0,4.0,<=50k,20
590,68.3913043478261,4.0,<=50k,23
591,67.0,10.272727272727273,<=50k,35
592,67.0,10.272727272727273,>50k,9
593,68.44776119402985,10.417910447761194,<=50k,51
594,68.44776119402985,10.417910447761194,>50k,16
595,67.0,13.742424242424242,<=50k,33
596,67.0,13.742424242424242,>50k,33
597,71.0,2.5714285714285716,<=50k,7
598,72.0,2.6666666666666665,<=50k,6
599,73.0,2.6666666666666665,<=50k,5
600,73.0,2.6666666666666665,>50k,1
601,72.47826086956522,4.0,<=50k,20
602,72.47826086956522,4.0,>50k,3
603,71.0,9.0,<=50k,34
604,71.0,9.0,>50k,5
605,70.0,10.161290322580646,<=50k,21
606,70.0,10.161290322580646,>50k,10
607,70.0,13.617647058823529,<=50k,20
608,70.0,13.617647058823529,>50k,14
609,74.0,9.0,<=50k,20
610,74.0,9.0,>50k,5
611,75.45454545454545,9.0,<=50k,40
612,75.45454545454545,9.0,>50k,4
613,78.42105263157895,4.526315789473684,<=50k,18
614,78.42105263157895,4.526315789473684,>50k,1
615,19.0,2.0,<=50k,3
616,19.0,3.0,<=50k,3
617,24.0,3.0,<=50k,8
618,25.0,1.8888888888888888,<=50k,9
619,25.0,3.0,<=50k,10
620,20.0,4.0,<=50k,6
621,21.0,4.0,<=50k,8
622,19.0,5.0,<=50k,14
623,20.0,5.0,<=50k,18
624,24.0,5.0,<=50k,19
625,25.0,5.0,<=50k,21
626,29.0,3.0,<=50k,10
627,29.0,4.0,<=50k,9
628,29.0,4.0,>50k,1
629,30.0,1.25,<=50k,4
630,30.0,3.0,<=50k,5
631,34.0,1.75,<=50k,4
632,34.0,3.0,<=50k,5
633,35.0,4.0,<=50k,13
634,35.0,4.0,>50k,1
635,35.0,5.0,<=50k,19
636,35.0,6.0,<=50k,21
637,36.0,1.7142857142857142,<=50k,7
638,36.0,5.0,<=50k,15
639,36.0,5.0,>50k,1
640,36.0,6.0,<=50k,30
641,40.0,1.0,<=50k,3
642,40.0,2.0,<=50k,3
643,50.0,1.0,<=50k,3
644,50.0,2.0,<=50k,4
645,52.0,1.0,<=50k,3
646,52.0,2.0,<=50k,5
647,52.0,2.0,>50k,2
648,53.0,1.0,<=50k,3
649,53.0,2.0,<=50k,6
650,53.0,2.0,>50k,1
651,54.0,1.0,<=50k,5
652,54.0,2.0,<=50k,4
653,54.0,2.0,>50k,1
654,53.0,6.0,<=50k,15
655,53.0,6.0,>50k,2
656,54.0,6.0,<=50k,15
657,54.0,6.0,>50k,2
658,59.0,1.75,<=50k,4
659,59.0,3.0,<=50k,3
660,59.0,3.0,>50k,1
661,60.0,1.5,<=50k,3
662,60.0,1.5,>50k,1
663,60.0,3.0,<=50k,10
664,60.0,3.0,>50k,2
665,64.2,2.0,<=50k,10
666,64.33333333333333,3.0,<=50k,12
667,67.0,5.0,<=50k,7
668,68.4,1.8,<=50k,5
669,68.42857142857143,3.0,<=50k,7
670,68.0,5.0,<=50k,4
671,69.0,5.0,<=50k,5
672,69.0,6.5,<=50k,13
673,69.0,6.5,>50k,1
674,70.0,3.0,<=50k,3
675,70.0,4.0,<=50k,6
676,70.0,5.0,<=50k,6
677,70.0,6.222222222222222,<=50k,9
678,71.0,4.0,<=50k,7
679,71.0,4.0,>50k,4
680,72.25,5.0,<=50k,3
681,72.25,5.0,>50k,1
682,72.0,9.0,<=50k,33
683,72.0,9.0,>50k,1
684,73.0,9.0,<=50k,39
685,73.0,9.0,>50k,2
686,71.0,10.333333333333334,<=50k,16
687,71.0,10.333333333333334,>50k,5
688,72.39583333333333,10.270833333333334,<=50k,39
689,72.39583333333333,10.270833333333334,>50k,9
690,71.0,13.655172413793103,<=50k,16
691,71.0,13.655172413793103,>50k,13
692,72.43478260869566,13.934782608695652,<=50k,30
693,72.43478260869566,13.934782608695652,>50k,16
694,74.0,2.0,<=50k,3
695,74.0,3.0,<=50k,3
696,74.0,4.0,<=50k,6
697,75.0,3.0,<=50k,6
698,75.0,6.363636363636363,<=50k,10
699,75.0,6.363636363636363,>50k,1
700,76.0,3.0,<=50k,3
701,74.0,10.125,<=50k,10
702,74.0,10.125,>50k,6
703,75.38461538461539,10.153846153846153,<=50k,21
704,75.38461538461539,10.153846153846153,>50k,5
705,77.0,2.3333333333333335,<=50k,3
706,77.0,4.75,<=50k,11
707,77.0,4.75,>50k,1
708,77.0,9.0,<=50k,10
709,77.0,9.0,>50k,2
710,78.42857142857143,9.0,<=50k,18
711,78.42857142857143,9.0,>50k,3
712,77.54545454545455,10.409090909090908,<=50k,19
713,77.54545454545455,10.409090909090908,>50k,3
714,80.58620689655173,9.0,<=50k,28
715,80.58620689655173,9.0,>50k,1
716,24.0,1.0,<=50k,3
717,24.0,2.0,<=50k,5
718,35.0,1.75,<=50k,4
719,35.0,3.0,<=50k,5
720,36.0,3.0,<=50k,9
721,36.0,3.0,>50k,2
722,36.0,4.0,<=50k,15
723,36.0,4.0,>50k,1
724,67.0,6.0,<=50k,8
725,67.0,7.222222222222222,<=50k,8
726,67.0,7.222222222222222,>50k,1
727,68.0,6.0,<=50k,7
728,68.0,7.285714285714286,<=50k,7
729,68.0,13.0,<=50k,6
730,68.0,13.0,>50k,10
731,69.0,13.0,<=50k,9
732,69.0,13.0,>50k,8
733,68.29411764705883,14.0,<=50k,13
734,68.29411764705883,14.0,>50k,4
735,71.0,5.0,<=50k,4
736,74.0,5.0,<=50k,3
737,74.0,6.571428571428571,<=50k,7
738,76.0,4.0,<=50k,11
739,74.0,12.75,<=50k,4
740,74.0,12.75,>50k,4
741,75.33333333333333,14.0,<=50k,7
